FALSE,入稿実行,,,,,,,,,,,,,
項番,入稿有無,公開日,問題,正解,URL,カテゴリ,タイトル,説明文,ヒント,解説文,締め,X投稿文,,
,入稿済,2026/01/25,,,difficult-kanji/article/12,難読漢字,【難読漢字】「紫陽花」梅雨の時期に咲く花,雨に濡れると美しい、初夏の花といえば？\n\n**紫陽花**,ヒント1：色は青や紫、ピンクなど。\n\nヒント2：土の性質で色が変わります。,正解：A. あじさい\n\n「紫色の太陽のような花」という漢字が当てられていますが、元々は「集真藍（あづさい）＝青色が集まる」という言葉が由来と言われています。,鎌倉のお寺で見かけると風情がありますね。,,,
,入稿済,2026/01/26,,,difficult-kanji/article/13,難読漢字,【難読漢字】「向日葵」夏を代表する花！,太陽に向かって咲く、黄色い元気な花です。\n\n**向日葵**,ヒント1：漢字の通り「日に向かう葵（あおい）」です。\n\nヒント2：種はハムスターの好物。,正解：A. ひまわり\n\n太陽の動きに合わせて花の向きを変える（向日性）性質から名付けられました。英語でも「Sunflower」と呼ばれます。,見ているだけで元気が出ます！,,,
,入稿済,2026/01/27,,,difficult-kanji/article/14,難読漢字,【難読漢字】「無花果」花が咲かない果物？,ドライフルーツとしても人気の、秋の果物です。\n\n**無花果**,ヒント1：プチプチとした食感が特徴。\n\nヒント2：実は「花」が中に隠れています。,正解：A. いちじく\n\n外側からは花が見えず、実の中で花を咲かせるため「無花果」という字が当てられました。漢字の由来が面白いですね。,完熟したものは絶品です。,,,
,入稿済,2026/01/28,,,difficult-kanji/article/15,難読漢字,【難読漢字】「海豚」海にいる豚さん？,水族館のショーでおなじみ、賢くて愛らしい生き物です。\n\n**海豚**,ヒント1：高い声で鳴きます。\n\nヒント2：ジャンプが得意です。,正解：A. いるか\n\n中国語の「海豚（ハイトゥン）」から来ています。見た目や鳴き声が子豚に似ていたから、という説があります。,海で出会えたらラッキーですね！,,,
,入稿済,2026/01/29,,,difficult-kanji/article/16,難読漢字,【難読漢字】「蝸牛」雨の日に見かける生き物,渦巻きの殻を背負った、ゆっくり動く生き物です。\n\n**蝸牛**,ヒント1：紫陽花の葉っぱによくいます。\n\nヒント2：でんでんむし。,正解：A. かたつむり\n\n「蝸」は渦巻き模様、「牛」はゆっくり歩く様子や触覚が牛の角に似ていることから。別名「でんでんむし」とも呼ばれます。,塩をかけると縮んじゃいます。,,,
226,入稿済,2026/02/02,9-5=8,3+5=8,matchstick-quiz/article/226,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9-5=8？,今日の脳トレは、記号の変化に合わせて数字を変身させるパズルです。引き算を足し算に変えると、計算が合うかもしれません。マッチ棒1本だけを別の場所へ移動して、式「9-5=8」を正しい等式に直してください。,「9-5=4」ですが、答えは「8」。符号を「＋」に変えてみましょう。「＋」にするための棒は、左端の「9」から調達します。「9」から1本取ると「3」か「5」になりますが…？,正解は、左端の「9」を「3」にし、符号を「＋」にすることでした。「9」の左上の縦棒を外し、それを「ー」に追加して「＋」にします。「3+5=8」。これで見事正解です！,解けた時の「あ、そうか！」という感覚が脳への一番の栄養です。この調子で脳を活性化させていきましょう。,,,
227,入稿済,2026/02/02,6+5=14,9+5=14,matchstick-quiz/article/227,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：6+5=14？,今日の脳トレは、答えから逆算する2桁計算クイズです。右側の「14」になるように、左側を調整してください。マッチ棒1本だけを別の場所へ移動して、式「6+5=14」を正しい等式に直してください。,「6+5=11」ですが、答えは「14」。左端の「6」を「9」に変えれば、「9+5=14」になります。「6」と「9」は、棒1本の移動で入れ替わりますよ。,正解は、左端の「6」を「9」に変えることでした。「6」の左下にある縦棒を外し、右上の空きスペースへ移動させます。すると「9」になります。「9+5=14」。これで正解です！,難しい問題が解けた時の喜びは、何歳になっても嬉しいものです。この達成感が、脳を若々しく保つエネルギーになります。,,,
228,入稿済,2026/02/03,19-7=9,16-7=9,matchstick-quiz/article/228,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：19-7=9？,今日の脳トレは、2桁の数字を使った引き算パズルです。数字の形をよく見て、隠された正解を見つけてください。マッチ棒1本だけを別の場所へ移動して、式「19-7=9」を正しい等式に直してください。,「19-7=12」ですが、答えは「9」。引かれる数の「19」を「16」に変えれば、「16-7=9」になります。「9」を「6」に変える移動方法を思い出してください。,正解は、左端の「19」の「9」を「6」に変えることでした。「9」の右上にある縦棒を外し、左下の空きスペースへ移動させます。すると「16」になります。「16-7=9」。計算バッチリですね！,数字の形を回転させるようなイメージ力は、脳の空間認識能力を鍛えるのに最適です。,,,
229,入稿済,2026/02/03,13+3=18,15+3=18,matchstick-quiz/article/229,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：13+3=18？,今日の脳トレは、答えの「18」に合わせる足し算クイズです。左側の数字を大きくして、合計を「18」にしてください。マッチ棒1本だけを別の場所へ移動して、式「13+3=18」を正しい等式に直してください。,「13+3=16」なので、答えの「18」より2足りません。左端の「13」の「3」を「5」に変えれば、「15+3=18」になります。「3」と「5」は、棒1本の移動で変身できます。,正解は、左端の「13」の「3」を「5」に変えることでした。「3」の右上の縦棒を外し、左上の空きスペースへ移動させます。すると「15」になります。「15+3=18」。これで見事正解です！,指先を使った細かい作業は、脳の運動野を刺激します。スマホの操作も良いトレーニングになりますよ。,,,
230,入稿済,2026/02/03,14-1=15,14-1=13,matchstick-quiz/article/230,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：14-1=15？,今日の脳トレは、答えの数字を修正する問題です。引き算なのに答えが増えている不思議な式を直しましょう。マッチ棒1本だけを別の場所へ移動して、式「14-1=15」を正しい等式に直してください。,「14-1=13」ですが、答えは「15」。答えの「15」の「5」を「3」に変えれば正解です。「5」と「3」の形の違いに注目してください。,正解は、答えの「15」の「5」を「3」に変えることでした。「5」の左上の縦棒を外し、右上の空きスペースへ移動させます。すると「13」になります。「14-1=13」。スッキリ解決ですね！,間違いに気づいて修正するプロセスは、脳の前頭葉を強く刺激します。良いトレーニングになりましたね。,,,
231,入稿済,2026/02/03,9-5=10,5+5=10,matchstick-quiz/article/231,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9-5=10？,今日の脳トレは、引き算を足し算に変える応用テクニック問題です。記号と数字を同時に変化させてください。マッチ棒1本だけを別の場所へ移動して、式「9-5=10」を正しい等式に直してください。,「9-5=4」ですが、答えは「10」。記号を「＋」に変える必要があります。「9」の棒を1本動かして「5」にし、その棒で「＋」を作ってみましょう。,正解は、左端の「9」を「5」にし、符号を「＋」にすることでした。「9」の右上の縦棒を外し、それを「ー」に追加して「＋」にします。「5+5=10」。完璧な計算式です！,柔軟な思考は、日々の生活を豊かにしてくれます。固まった頭をほぐして、今日も笑顔で過ごしましょう！,,,
232,入稿済,2026/02/04,2+8=11,3+8=11,matchstick-quiz/article/232,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：2+8=11？,今日の脳トレは、左右対称に近い数字の変化を楽しむ問題です。ほんの少しの違いを見極めてください。マッチ棒1本だけを別の場所へ移動して、式「2+8=11」を正しい等式に直してください。,「2+8=10」ですが、答えは「11」。左端の「2」を「3」に変えれば、「3+8=11」で計算が合います。「2」と「3」は、棒の配置が左右反転している部分がありますよ。,正解は、左端の「2」を「3」に変えることでした。「2」の左下の縦棒を外し、右下の空きスペースへ移動させます。すると「3」になります。「3+8=11」。これで正解です！,毎日の小さな「できた！」の積み重ねが、生活の質を向上させます。今日の脳トレも、あなたの素敵な習慣のひとつになりますように。,,,
233,入稿済,2026/02/04,12-0=6,12-6=6,matchstick-quiz/article/233,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：12-0=6？,今日の脳トレは、ゼロの変身トリックを見破る問題です。引く数を変えて、正しい答えを導き出してください。マッチ棒1本だけを別の場所へ移動して、式「12-0=6」を正しい等式に直してください。,「12-0=12」ですが、答えは「6」。引く数の「0」を「6」に変えれば、「12-6=6」になります。「0」の中にある棒を動かして、「6」の形にできないでしょうか？,正解は、真ん中の「0」を「6」に変えることでした。「0」の右上にある縦棒を外し、真ん中の横棒として配置します。すると「6」になります。「12-6=6」。これで正解です！,ゼロの概念は数学の基礎です。頭をリセットして、柔軟な思考を保ちましょう。,,,
234,入稿済,2026/02/04,17-1=12,11+1=12,matchstick-quiz/article/234,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：17-1=12？,今日の脳トレは、2桁の数字と記号を同時に変えるひらめき問題です。引き算を足し算にすると、計算が合うかもしれません。マッチ棒1本だけを別の場所へ移動して、式「17-1=12」を正しい等式に直してください。,「17-1=16」ですが、答えは「12」。左端の「17」の「7」の上の棒を使って、「ー」を「＋」に変えてみましょう。「11+1=12」になりますよ。,正解は、左端の「17」の「7」の上棒を外し、符号を「＋」にすることでした。「7」の上にある横棒を移動させて「ー」を「＋」にします。すると「17」は「11」になります。「11+1=12」。見事な逆転劇で正解です！,パズルに集中する時間は、脳にとって良いリラックスタイムにもなります。焦らず自分のペースで楽しみましょう。,,,
